"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Vendors - Casos de prueba relacionados a la vista de Proveedores","6","Proveedores","48","0","Aplicando filtros en la tabla de Proveedores","0"
"0","Projects - Casos de prueba relacionados a la vista de Proyectos","9","","45","0","Aplicando filtros en la tabla de Proyectos","0"
"0","","0","","0","6","","0"
"0","Requests - Casos de prueba relacionados a la vista de Requerimientos","9","","42","0","Aplicando filtros en la tabla de Solicitudes","0"
"0","Experiences - Casos de prueba relacionados a la vista de Experiencias","3","","15","0","Aplicando filtros en la tabla de Proveedores","0"
"0","Vendors - Casos de prueba relacionados a la vista de Proveedores","0","Proveedores","6","0","Lista de proveedores desplegados en la tabla","0"
"0","Trip Users - Casos de prueba relacionados a la vista de Usuarios de Viaje","3","Trip Users","18","0","Aplicando filtros en la tabla Usuarios de Viaje","0"
"0","Dashboard - Casos de prueba relacionados al dashboard","0","Dashboard","3","0","Redirección a la vista de Requerimientos","0"
"0","Trip Users - Casos de prueba relacionados a la vista de Usuarios de Viaje","0","Trip Users","3","0","Transacciones desplegadas en la tabla","0"
"0","Vendors - Casos de prueba relacionados a la vista de Proveedores","0","Proveedores","24","0","Pruebas de paginación","0"
"0","Login - Casos de prueba relacionados a inicio de Sesión","0","Inicio de sesión","3","0","El usuario Inicia sesion de manera exitosa","0"
"0","Vendors - Casos de prueba relacionados a la vista de Proveedores","0","Proveedores","6","0","Se crea un Proovedor de forma Exitosa","0"
"0","Login - Casos de prueba relacionados a inicio de Sesión","0","Inicio de sesión","3","0","Validación de Inicio de sesion con el campo de Contraseña Vacia","0"
"0","Requests - Casos de prueba relacionados a la vista de Requerimientos","0","","12","0","Pruebas de paginación","0"
"0","Projects - Casos de prueba relacionados a la vista de Proyectos","0","","3","0","Encabezados en la tabla de Solicitudes","0"
"0","Login - Casos de prueba relacionados a inicio de Sesión","0","Inicio de sesión","3","0","La contraseña Ingresada en el proceso de inicio de Sesion no es correcta","0"
"0","Projects - Casos de prueba relacionados a la vista de Proyectos","0","","12","0","Pruebas de paginación","0"
"0","Experiences - Casos de prueba relacionados a la vista de Experiencias","0","","12","0","Pruebas de paginación","0"
"0","Requests - Casos de prueba relacionados a la vista de Requerimientos","0","","3","0","Flujo de Edición de una Request/Solicitud","0"
"0","Requests - Casos de prueba relacionados a la vista de Requerimientos","0","","3","0","Flujo de Creación de una nueva Request/Solicitud","0"
"0","Experiences - Casos de prueba relacionados a la vista de Experiencias","0","","3","0","Transacciones desplegadas en la tabla","0"
"0","Vendors - Casos de prueba relacionados a la vista de Proveedores","0","Proveedores","6","0","Encabezados en la tabla de Proveedores","0"
"0","Dashboard - Casos de prueba relacionados al dashboard","0","Dashboard","3","0","Todas las metricas son visibles desde la vista del dashboard","0"
"0","Requests - Casos de prueba relacionados a la vista de Requerimientos","0","","3","0","Transacciones desplegadas en la tabla","0"
"0","Dashboard - Casos de prueba relacionados al dashboard","0","Dashboard","3","0","Transacciones desplegadas en la tabla","0"
"0","Vendors - Casos de prueba relacionados a la vista de Proveedores","0","Proveedores","3","0","Se Edita un Proovedor de forma Exitosa","0"
"0","Requests - Casos de prueba relacionados a la vista de Requerimientos","0","","3","0","Encabezados en la tabla de Solicitudes","0"
"0","Requests - Casos de prueba relacionados a la vista de Requerimientos","0","","3","0","Validación de Request Aprobados en la vista de Proyectos","0"
"0","Trip Users - Casos de prueba relacionados a la vista de Usuarios de Viaje","0","Trip Users","3","0","Encabezados en la tabla de usuarios de Viajes","0"
"0","Login - Casos de prueba relacionados a inicio de Sesión","0","Inicio de sesión","3","0","El Email ingresado para el inicio de sesion es incorrecto","0"
"0","Login - Casos de prueba relacionados a inicio de Sesión","0","Inicio de sesión","3","0","Validación de Inicio de sesion con el campo de Email Vacio","0"
"0","Projects - Casos de prueba relacionados a la vista de Proyectos","0","","3","0","Transacciones desplegadas en la tabla","0"
